Account Name,Company URL/Website URL,Company Phone,Company Street,Company City,Company State,Company Zip,Company Country,Industry,ZoomInfo Company ID,Linkedin Company URL,Export Link,Oracle Email Address,Sales Rep
1141930 Christy Sports LLC,http://www.christysports.com,303 237 6321,1808 N Academy Blvd,Colorado Springs,CO,80909-2724,United States,Retail,21712198,http://www.linkedin.com/company/christy-sports,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3123023,brian.br.oneill@oracle.com,"O'Neill, Brian"
16500 INC,http://www.16500.com,510 208 5005,2100 Powell St Ste 800,Emeryville,CA,94608,United States,Manufacturing,398232410,http://www.linkedin.com/company/sixteen5hundred,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=339167,brian.br.oneill@oracle.com,"O'Neill, Brian"
88 Tactical,http://www.88tactical.com,14029337171,15350 Shepard St Ste 1,Omaha,NE,28081,United States,Manufacturing,1133801179,http://www.linkedin.com/company/88-tactical-omaha,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=176096642,brian.br.oneill@oracle.com,"O'Neill, Brian"
"Abrisa Industrial Glass, Inc.",http://www.abrisatechnologies.com,805 525 4902,200 Hallock Dr,Santa Paula,CA,930609646,United States,Manufacturing,180765,http://www.linkedin.com/company/abrisa,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=122896650,brian.br.oneill@oracle.com,"O'Neill, Brian"
Accelerate Diagnostics,http://www.acceleratediagnostics.com,520 365 3103,3950 S Country Club Rd # 470,Tucson,AZ,857142240,United States,Manufacturing,357253749,http://www.linkedin.com/company/accelerate-diagnostics-inc.,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=74059591,brian.br.oneill@oracle.com,"O'Neill, Brian"
Activated Carbon Corp.,http://activatedcarbon.com,(310) 885-4555,2250 S Central Ave Compton,Compton,CA,90220,United States,Manufacturing,28512986,http://www.linkedin.com/company/carbon-activated-corp.-us,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=201832864,brian.br.oneill@oracle.com,"O'Neill, Brian"
Active Membrane,http://activemembrane.com,(818) 300-3383,,Moorpark,CA,93021,United States,Business Services,1314087747,http://www.linkedin.com/company/active-membranes-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=187408307,brian.br.oneill@oracle.com,"O'Neill, Brian"
Adcraft Printing,http://www.adcraftusa.com,(563) 243-1304,801 South 3rd Street,Clinton,IA,52732,United States,Telecommunications,459253266,http://www.linkedin.com/company/adcraft-printwear-co,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=146842772,brian.br.oneill@oracle.com,"O'Neill, Brian"
Advanced Fiberglass Concepts,http://www.advfiberglass.com,7146958400,,Costa Mesa,CA,92626,United States,Manufacturing,447765085,https://www.linkedin.com/sales/search/people?query=(filters%3AList((type%3ACURRENT_COMPANY%2Cvalues%3AList((id%3A87738690%2CselectionType%3AINCLUDED)))))&sessionId=8IyQOwYRS%2FiX%2Fb4Pchk8jg%3D%3D,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=143876659,brian.br.oneill@oracle.com,"O'Neill, Brian"
AdviNOW Medical,https://advinow.com/,(480) 709-4336,217 n 100th way,Mesa,AZ,85207,United States,Retail,399520771,https://www.linkedin.com/sales/company/15240793,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=140500677,brian.br.oneill@oracle.com,"O'Neill, Brian"
Agri-Cover Inc,http://www.agricover.com,701 251 1427,3000 Hwy 281 Se,Jamestown,ND,58401-9206,United States,Manufacturing,2265744,https://www.linkedin.com/company/agri-cover-inc./,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3217185,brian.br.oneill@oracle.com,"O'Neill, Brian"
AGVenture,http://www.agventure.com,605 345 7333,741 W Highway 12,Webster,SD,572742213,United States,Retail,1166006849,,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=115920071,brian.br.oneill@oracle.com,"O'Neill, Brian"
Alef Aeronautics formerly Armada,https://alef.aero/,650-000-0000,S Amphlett Blvd,San Mateo,CA,94402,United States,Retail,566131611,https://www.linkedin.com/sales/company/76597427?_ntb=YYpyiZRDQiOMJkJwKBo65A%3D%3D,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=136686027,brian.br.oneill@oracle.com,"O'Neill, Brian"
Alef Sausage,https://www.alefsausage.com/,847-968-2533 (704),356 TOWNLINE RD,Mundelein,IL,60060,United States,Retail,354495461,http://www.linkedin.com/company/alef-sausage-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=116506344,brian.br.oneill@oracle.com,"O'Neill, Brian"
